date,actual,trend,seasonal,residual
2020-12-01,560.0,2551.1046518261955,-1479.4560042063142,-511.64864761988133
2021-01-01,3031.0,2582.362287758597,647.2050273494381,-198.56731510803502
2021-02-01,2991.0,2612.380820713815,-130.10335915142755,508.72253843761246
2021-03-01,2987.0,2641.7182095147923,283.86264087645526,61.41914960875238
2021-04-01,2904.0,2670.644832158857,-110.14187668225007,343.497044523393
2021-05-01,1200.0,2699.1970428476156,-1572.7353776469504,73.53833479933473
2021-06-01,3252.0,2726.9998526275085,600.9575156564338,-75.95736828394229
2021-07-01,4073.0,2753.200089659331,1422.703232594427,-102.90332225375778
2021-08-01,2984.0,2776.2795950475006,354.2085753418037,-146.4881703893043
2021-09-01,2330.0,2792.9481314995164,-277.4420420179266,-185.5060894815897
2021-10-01,3389.0,2794.7336602714677,504.362005770897,89.90433395763557
2021-11-01,2292.0,2784.150133550789,-522.7233317285271,30.57319817773805
2021-12-01,2653.0,2783.673121330206,-1010.6963364044195,880.0232150742136
2022-01-01,3827.0,2794.2280231458053,545.2251755032,487.54680135099443
2022-02-01,2059.0,2809.675718910387,-151.59114510305213,-599.0845738073349
2022-03-01,2942.0,2820.6642606466144,322.8537541483514,-201.5180147949659
2022-04-01,1966.0,2820.3109366113054,-200.1354876909118,-654.1754489203936
2022-05-01,1920.0,2805.318191657021,-776.6497889085571,-108.6684027484639
2022-06-01,3331.0,2778.351206316894,359.91911095252107,192.72968273058495
2022-07-01,3583.0,2749.108895936745,588.1125929254014,245.7785111378539
2022-08-01,3194.0,2727.981075298968,133.52890639586929,332.4900183051627
2022-09-01,3069.0,2719.232933240884,-60.07952232104533,409.84658908016127
2022-10-01,2819.0,2719.2452040262906,249.8976496007057,-150.14285362699638
2022-11-01,2397.0,2716.0788975953237,-287.4193782419262,-31.659519353397627
2022-12-01,2020.0,2699.9387506888543,-560.9789536714401,-118.95979701741408
2023-01-01,2803.0,2670.020804262686,444.4739946928561,-311.49479895554214
2023-02-01,2184.0,2631.072717601497,-140.25267922795894,-306.82003837353795
2023-03-01,3260.0,2591.7088689913485,354.4928295917529,313.79830141689854
2023-04-01,2617.0,2558.2798151280795,-271.3428920593978,330.0630769313184
2023-05-01,2618.0,2534.475175204482,23.423493135269677,60.10133166024798
2023-06-01,2552.0,2526.742843202472,114.70462481071907,-89.44746801319116
2023-07-01,2152.0,2520.5530098698637,-252.0811083416261,-116.4719015282376
2023-08-01,2258.0,2513.228833439925,-95.09101934230381,-160.13781409762123
2023-09-01,2453.0,2504.9736097019713,147.26914447304372,-199.24275417501485
2023-10-01,2573.0,2496.255160339595,0.7320845297424692,76.0127551306623
2023-11-01,2454.0,2487.522147355218,-49.99769987220581,16.475552516988046
2023-12-01,2150.0,2479.069124104551,-146.3601249961999,-182.70899910835124
2024-01-01,2863.0,2471.1169268771982,332.24598052784467,59.63709259495727
2024-02-01,2755.0,2463.9122928262195,-90.6871586395528,381.77486581333324
2024-03-01,2701.0,2457.5603366497066,387.89997591296134,-144.46031256266815
